How it was read,Post,Sentence #,Sheet,Text,Detail
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",124,1,Q Entities,+++,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",126,4,Q Entities,++,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",126,5,Q Entities,+,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",126,3,Q Entities,+++,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",134,18,Q Entities,++,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",134,19,Q Entities,+,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",134,17,Q Entities,+++,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",144,11,Q Entities,+++Adm R+++,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",156,1,Q Entities,++,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",177,9,Q Entities,++,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",178,12,Q Entities,++,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",233,4,Q Entities,_4ch_n,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",233,5,Q Entities,_8ch_y,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",300,2,Q Entities,L.,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",436,11,Q Entities,CROWDSTRIKE>,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",436,14,Q Entities,DWS_DIR>,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",436,29,Q Entities,STEELE>,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",522,19,Q Entities,Jeremiah 29:11,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",533,13,Q Entities,"4, 10, 20",assumed entities
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",601,1,Q Entities,@Snowden,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",679,7,Q Entities,++,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",679,6,Q Entities,+,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",679,8,Q Entities,+++,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",709,4,Q Entities,@Snowden,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",728,2,Q Entities,"@Snowden ""Truth To Power""","The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",731,2,Q Entities,"@Snowden ""Truth To Power""","The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",755,1,Q Entities,MILITARY INTELLIGENCE TEAM,assumed entities
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",760,1,Q Entities,@Snowden,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",770,8,Q Entities,@Snowden,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",771,1,Q Entities,@Jack,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",790,1,Q Entities,@SNOWDEN,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",790,14,Q Entities,JOHN 3:16,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",791,4,Q Entities,Q+,assumed entities
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",834,4,Q Entities,@Snowden,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",836,5,Q Entities,@Snowden,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",836,4,Q Entities,OP Name: Fiddler,assumed entities
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",845,1,Q Entities,@Snowden,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",864,4,Q Entities,SUM of ALL FEARS //\\,assumed entities
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",873,1,Q Entities,@Snowden,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",893,1,Q Entities,@Snowden,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",895,2,Q Entities,@Jack,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",903,1,Q Entities,@Snowden,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",931,3,Q Entities,Q+,assumed entities
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",952,1,Q Entities,@[19][1st],"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",952,2,Q Entities,@[3][1st],"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",972,25,Q Entities,@Snowden,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",1000,1,Q Entities,'H',assumed entities
"The Final Category cell was empty, so the SHEET decided the section",1001,11,Q Entities,D-Room C,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",1001,9,Q Entities,D-Room H,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",1001,10,Q Entities,D-Room R,assumed entities
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1014,3,Q Entities,@Jack,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",1028,2,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",1038,5,Q Entities,Q+,assumed entities
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1063,3,Q Entities,@Jack,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1063,8,Q Entities,@Snowden,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1102,12,Q Entities,@Jack,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1124,1,Q Entities,@Snowden,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1218,1,Q Entities,+,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1239,1,Q Entities,@algore,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",1296,5,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",1297,11,Q Entities,Q+,assumed entities
The same line appears twice on one sheet with two different Final Category values — e,1319,44,Q Entities,Ted Poe - Republican,"sheet said entities, cell said claims, applied entities"
"The Final Category cell was empty, so the SHEET decided the section",1328,31,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",1358,22,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",1443,14,Q Entities,302s,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",1475,2,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",1491,3,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",1565,1,Q Entities,45,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",1582,3,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",1588,5,Q Entities,A321,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",1645,11,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",1699,3,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",1712,3,Q Entities,-Colossians 3:5,assumed entities
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1719,7,Q Entities,@Jack,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",1834,3,Q Entities,Q+,assumed entities
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1841,8,Q Entities,+GOOG,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",1841,8,Q Entities,+GOOG,assumed entities
The same line appears twice on one sheet with two different Final Category values — e,1850,46,Q Entities,Ted Poe - Republican,"sheet said entities, cell said claims, applied entities"
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1863,2,Q Entities,@FoxNews,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1863,1,Q Entities,@SeanHannity,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1863,3,Q Entities,@TheRealRoseanne,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
The same line appears twice on one sheet with two different Final Category values — e,1887,20,Q Entities,Operation Cyclone,"sheet said entities, cell said claims, applied entities"
The same line appears twice on one sheet with two different Final Category values — e,1887,20,Q Entities,Mujahideen,"sheet said entities, cell said claims, applied entities"
"The Final Category cell was empty, so the SHEET decided the section",1935,16,Q Entities,US MILITARY,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",2039,9,Q Entities,Q+,assumed entities
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",2075,2,Q Entities,@Jack,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",2095,2,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",2119,18,Q Entities,Q+,assumed entities
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",2165,22,Q Entities,+,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",2240,2,Q Entities,VIP Patriot,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",2243,2,Q Entities,VIP Patriot,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",2301,3,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",2308,2,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",2356,5,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",2451,6,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",2452,4,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",2561,13,Q Entities,MIL INTEL,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",2629,3,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",2734,1,Q Entities,F-15,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",2758,2,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",2759,1,Q Entities,Q+,assumed entities
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",2767,1,Q Entities,@Snowden,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",2885,4,Q Entities,Q+,assumed entities
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",3021,2,Q Entities,@Snowden,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",3042,5,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",3074,3,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",3075,3,Q Entities,Q+,assumed entities
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",3108,2,Q Entities,@Jack,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",3241,8,Q Entities,GANG OF 8 (INTEL),assumed entities
"The Final Category cell was empty, so the SHEET decided the section",3354,4,Q Entities,H,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",3377,2,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",3378,2,Q Entities,Q+,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",3383,10,Q Entities,J. Biden,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",3584,5,Q Entities,Project DeepDream,assumed entities
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",3691,1,Q Entities,@Snowden,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",3730,3,Q Entities,Q+,assumed entities
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",3881,7,Q Entities,+Sleepers,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",3881,7,Q Entities,+Sleepers,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",4011,3,Q Entities,CROSSFIRE TYPHOON,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",4095,1,Q Entities,Q+,assumed entities
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",4346,2,Q Entities,@Jack,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",4390,1,Q Entities,Proverbs 13:9,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",4414,9,Q Entities,CASTLE_ROCK,assumed entities
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",4715,2,Q Entities,@FBIPortland,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",4784,1,Q Entities,Lisa Barsoomian _former Bill Clinton attorney,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",4893,8,Q Entities,Biden?],assumed entities
"The Final Category cell was empty, so the SHEET decided the section",229,1,Q Predictions,RED_RED_,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",231,5,Q Predictions,RED1_RED2_,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",232,2,Q Predictions,RED1_RED2_,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",249,1,Q Predictions,RED_RED,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",273,3,Q Predictions,D,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",273,1,Q Predictions,R,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",395,5,Q Predictions,RED_OCTOBER >,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",432,6,Q Predictions,RED_OCTOBER>,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",520,72,Q Predictions,RED_RED_,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",756,18,Q Predictions,RED_CASTLE_OK,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",756,17,Q Predictions,RED_RED_OK,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",844,1,Q Predictions,BOOM,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",844,2,Q Predictions,BOOM,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",844,3,Q Predictions,BOOM,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",844,4,Q Predictions,BOOM,assumed predictions
The same line appeared twice with the same destination,1439,9,Q Predictions,DECLAS_,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,1443,3,Q Predictions,DECLAS_Public,The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",1468,2,Q Predictions,4 points / 4 booms,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",1468,3,Q Predictions,Dark to Light 1:07,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",1846,2,Q Predictions,BOOM,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",1846,3,Q Predictions,BOOM,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",1846,4,Q Predictions,BOOM,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",1846,5,Q Predictions,BOOM,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",1855,2,Q Predictions,BOOM,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",1855,3,Q Predictions,BOOM,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",1855,4,Q Predictions,BOOM,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",1855,5,Q Predictions,BOOM,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2287,1,Q Predictions,RED OCTOBER>>>,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2298,17,Q Predictions,RED OCTOBER,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2300,3,Q Predictions,D,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2300,1,Q Predictions,R,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2300,2,Q Predictions,RED OCTOBER,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2301,1,Q Predictions,RED OCTOBER,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2318,1,Q Predictions,53-47,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2350,11,Q Predictions,RED_OCTOBER,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2352,8,Q Predictions,BOOM,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2352,9,Q Predictions,BOOM,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2352,10,Q Predictions,BOOM,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2352,11,Q Predictions,BOOM,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2377,2,Q Predictions,BOOM,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2377,3,Q Predictions,BOOM,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2377,4,Q Predictions,BOOM,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2377,5,Q Predictions,BOOM,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2381,57,Q Predictions,52-47,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2461,10,Q Predictions,P—A—I—N,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2493,1,Q Predictions,53-47,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2499,8,Q Predictions,EXTREME PANIC IN [DC],assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2671,5,Q Predictions,53-47,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2681,26,Q Predictions,-Red/Green Castle per orig plan,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",2681,22,Q Predictions,-Public Awakening,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",3004,3,Q Predictions,52-47,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",3036,11,Q Predictions,54-45,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",3110,1,Q Predictions,'STRIKE',assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",3395,4,Q Predictions,1+1 = 2,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",3533,3,Q Predictions,53-47,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",3560,1,Q Predictions,News unlocks…,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",3750,3,Q Predictions,2 + 2 = 4,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",3868,8,Q Predictions,1 + 1 = 2,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",4162,1,Q Predictions,1 + 1 = 2,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",4294,2,Q Predictions,DEM–PANIC,assumed predictions
"The Final Category cell was empty, so the SHEET decided the section",4414,3,Q Predictions,RED2: Central communications blackout [continental US],assumed predictions
The same line appeared twice with the same destination,4722,7,Q Predictions,Fires,The same line appeared twice with the same destination. Certified once.
The same line appeared twice with the same destination,4722,7,Q Predictions,Fires,The same line appeared twice with the same destination. Certified once.
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1532,1,URL,@2:20 https://ftw.usatoday.com/2018/03/saturday-night-live-charles-barkley-alex-rodriguez-the-champions-sketch,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",155,3,Q Directives,Bunker Apple Yellow Sky [… + 1],assumed directives
"The Final Category cell was empty, so the SHEET decided the section",175,5,Q Directives,Bunker Apple Yellow Sky [… + 1],assumed directives
"The Final Category cell was empty, so the SHEET decided the section",302,3,Q Directives,—end—,assumed directives
"The Final Category cell was empty, so the SHEET decided the section",472,2,Q Directives,_END_,assumed directives
