Theme anchor,Post,The text,What else covers it
Isolate faithful from each other _remove ability to attend Church [house of worship],4688,Isolate faithful from each other _remove ability to attend Church ,claim
Isolate faithful from each other _remove ability to attend Church [house of worship],4688,[house of worship],claim+bracketCode
censorship,4688,censorship,claim
riots,4699,riots,question
Riots,4722,Riots,claim
Riots,4722,riots,prediction
God bless,473,God,request+namedEntity
God bless,473, bless,request
lockdown,4738,lockdown,question
ballot harvest,4738,ballot harvest,question+bracketCode
riots,4738,riots,question
bribe,4738,bribe,question+bracketCode
surveillance,4738,surveillance,claim+bracketCode
Impeachment,4738,Impeachment,claim
armor of God,4739,armor of ,request
armor of God,4739,God,request+namedEntity
THE GREAT AWAKENING,474,THE GREAT AWAKENING,claim
mainstream media,4741,mainstream media,question
sex trafficking,4742,sex trafficking,question
Why does the media pit religion v religion?,4748,Why does the media pit religion v religion?,question
Anons,4760,Anons,claim
Conflict of interest,4777,Conflict of interest,question
PAY-TO-PLAY,4782,PAY-TO-PLAY,claim+bracketCode
declassification,4794,declassification,claim
When does a Church become a playground?,4799,When does a Church become a playground?,question
Fake news,4802,Fake news,claim
Impeachment,4802,Impeachment,claim
CDC,4802,CDC,namedEntity+claim
DECLAS,4802,DECLAS,question
censorship,4802,censorship,question
CDC,4802,cdc,namedEntity
CDC,4802,CDC,question+namedEntity
GOD BLESS,481,GOD,request+namedEntity
GOD BLESS,481, BLESS,request
CDC,4813,CDC,question+namedEntity
censored,4814,censored,question
Impeachment,4817,Impeachment,claim
BRIBES,4821,BRIBES,question
BRIBES,4822,BRIBES,question
subpoena,4831,subpoena,question
Who are the Muslim Brotherhood?,484,Who are the ,question
Who are the Muslim Brotherhood?,484,Muslim Brotherhood,question+namedEntity
Who are the Muslim Brotherhood?,484,?,question
bribes,4845,bribes,claim
FAKE NEWS,4856,FAKE NEWS,claim
Anon,4861,Anon,request
impeached,4872,impeached,question
Anons,4873,Anons,claim
Anon,4878,Anon,claim
God bless,488,God,request+namedEntity
God bless,488, bless,request
WWG1WGA,4880,WWG1WGA,request
Anons,4881,Anons,claim
Anons,4881,Anons,claim
convicted,4893,convicted,claim
God bless,490,God,request+namedEntity
God bless,490, bless,request
God bless,4923,God,request+namedEntity
God bless,4923, bless,request
Watergate,4933,Watergate,namedEntity+claim
Bribes,4959,Bribes,question
surveillance,4961,surveillance,claim
Whistleblowers,4963,Whistleblowers,namedEntity
Ascension.,4963,Ascension.,prediction
Be aware of false prophets.,4964,Be aware of false prophets.,request
Ascension.,4966,Ascension.,prediction
indictment,5,indictment,question
God bless,51,God,request+namedEntity
God bless,51, bless,request
DEFCON,510,DEFCON,claim
DEFCON,511,DEFCON,claim
FAKE NEWS,513,FAKE NEWS,request
qresearch,518,qresearch,claim
NO SUCH AGENCY,520,NO SUCH AGENCY,namedEntity
Chain Of Command,521,Chain Of Command,question
Jeremiah 29:11,522,Jeremiah 29:11,namedEntity
"Mezvinsky was born in Philadelphia, Pennsylvania, and grew up attending a Conservative Jewish synagogue.[2] His parents are both former Democratic members of the U.S. House of Representatives.",526,"Mezvinsky was born in Philadelphia, ",claim
"Mezvinsky was born in Philadelphia, Pennsylvania, and grew up attending a Conservative Jewish synagogue.[2] His parents are both former Democratic members of the U.S. House of Representatives.",526,Pennsylvania,namedEntity+claim
"Mezvinsky was born in Philadelphia, Pennsylvania, and grew up attending a Conservative Jewish synagogue.[2] His parents are both former Democratic members of the U.S. House of Representatives.",526,[2],bracketCode
"Mezvinsky was born in Philadelphia, Pennsylvania, and grew up attending a Conservative Jewish synagogue.[2] His parents are both former Democratic members of the U.S. House of Representatives.",526,His parents are both former Democratic members of the ,claim
"Mezvinsky was born in Philadelphia, Pennsylvania, and grew up attending a Conservative Jewish synagogue.[2] His parents are both former Democratic members of the U.S. House of Representatives.",526,U.S.,namedEntity+claim
"Mezvinsky was born in Philadelphia, Pennsylvania, and grew up attending a Conservative Jewish synagogue.[2] His parents are both former Democratic members of the U.S. House of Representatives.",526,House of Representatives,namedEntity+claim
conviction,526,conviction,claim
MSM,529,MSM,prediction
MSM,529,MSM,claim
MSM,529,MSM,claim
anon,531,anon,claim
MSM,532,MSM,claim
GOD BLESS,533,GOD,request+namedEntity
GOD BLESS,533, BLESS,request
GOD BLESS,533,GOD,request+namedEntity
GOD BLESS,533, BLESS,request
NO SUCH AGENCY,537,NO SUCH AGENCY,namedEntity+claim
declares the LORD,54,declares the ,request
declares the LORD,54,LORD,request+namedEntity
FISA,541,FISA,question+namedEntity
THE GREAT AWAKENING,543,THE GREAT AWAKENING,claim
God bless,55,God,request+namedEntity
God bless,55, bless,request
FISA,553,FISA,question+namedEntity
FISA,553,FISA,question+namedEntity
"The Clinton campaign is attempting once again to sweep important questions under the rug about top aide Huma Abedin, her family ties to the Muslim Brotherhood and to Saudi Arabia, and her role in the ballooning Clinton email scandal.",56,The ,claim
"The Clinton campaign is attempting once again to sweep important questions under the rug about top aide Huma Abedin, her family ties to the Muslim Brotherhood and to Saudi Arabia, and her role in the ballooning Clinton email scandal.",56,Clinton,namedEntity+claim
"The Clinton campaign is attempting once again to sweep important questions under the rug about top aide Huma Abedin, her family ties to the Muslim Brotherhood and to Saudi Arabia, and her role in the ballooning Clinton email scandal.",56," campaign is attempting once again to sweep important questions under the rug about top aide Huma Abedin, her family tie",claim
"The Clinton campaign is attempting once again to sweep important questions under the rug about top aide Huma Abedin, her family ties to the Muslim Brotherhood and to Saudi Arabia, and her role in the ballooning Clinton email scandal.",56,Muslim Brotherhood,namedEntity+claim
"The Clinton campaign is attempting once again to sweep important questions under the rug about top aide Huma Abedin, her family ties to the Muslim Brotherhood and to Saudi Arabia, and her role in the ballooning Clinton email scandal.",56," and to Saudi Arabia, and her role in the ballooning ",claim
"The Clinton campaign is attempting once again to sweep important questions under the rug about top aide Huma Abedin, her family ties to the Muslim Brotherhood and to Saudi Arabia, and her role in the ballooning Clinton email scandal.",56,Clinton,namedEntity+claim
"The Clinton campaign is attempting once again to sweep important questions under the rug about top aide Huma Abedin, her family ties to the Muslim Brotherhood and to Saudi Arabia, and her role in the ballooning Clinton email scandal.",56, email scandal.,claim
MSM,561,MSM,claim
JUDGEMENT DAY.,561,JUDGEMENT DAY.,prediction
THEY WANT RELIGIOUS WARS.,563,THEY WANT RELIGIOUS WARS,claim
MSM,564,MSM,claim
MSM,564,MSM,claim
Defcon,568,Defcon,claim+bracketCode
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57,Senator ,claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57,McCain,namedEntity+claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57, and others roundly criticized Rep.,claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57,Michele Bachmann,namedEntity+claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57, in 2012 when she and four members of the ,claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57,House Permanent Select Committee Intelligence,namedEntity+claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57, and the ,claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57,House Judiciary Committee,namedEntity+claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57, cited Ms.,claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57,Abedin,namedEntity+claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57, in letters sent to the Inspectors General of the ,claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57,Department of Defense,namedEntity+claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57,", ",claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57,Department of State,namedEntity+claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57,", ",claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57,Department of Justice,namedEntity+claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57,", ",claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57,Department of Homeland Security,namedEntity+claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57,", and the ",claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57,Office of the Director of National Intelligence,namedEntity+claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57,", warning about ",claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57,Muslim Brotherhood,namedEntity+claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57, infiltration of the ,claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57,United States,namedEntity+claim
"Senator McCain and others roundly criticized Rep. Michele Bachmann in 2012 when she and four members of the House Permanent Select Committee Intelligence and the House Judiciary Committee cited Ms. Abedin in letters sent to the Inspectors General of the Department of Defense, Department of State, Department of Justice, Department of Homeland Security, and the Office of the Director of National Intelligence, warning about Muslim Brotherhood infiltration of the United States government.",57, government.,claim
FISA,570,FISA,namedEntity+claim
MSM,570,MSM,claim
amen,570,amen,claim
electoral college,570,electoral college,claim
MSM,570,MSM,claim
censoring,570,censoring,claim
The Great Awakening,570,The Great Awakening,claim
MSM,571,MSM,claim
THE GREAT AWAKENING,572,THE GREAT AWAKENING,claim
No Such Agency,575,No Such Agency,namedEntity+claim+bracketCode
No Such Agency,576,No Such Agency,namedEntity
assassination,586,assassination,question
special counsel,586,special counsel,question
human trafficking,586,human trafficking,claim
PRAY.,587,PRAY.,request
MSM,59,MSM,question
MSM,59,MSM,request
MSM,59,MSM,question
indictment,6,indictment,question
GOD BLESS,603,GOD,request+namedEntity
GOD BLESS,603, BLESS,request
No Such Agency,605,No Such Agency,namedEntity
censorship,605,censorship,claim
God be with you and your family during this difficult time.,611,God,namedEntity+claim
God be with you and your family during this difficult time.,611, be with you and your family during this difficult time.,claim
MSM,617,MSM,claim
Whistleblowers,628,Whistleblowers,question+bracketCode
God bless,64,God,request+namedEntity
God bless,64, bless,request
Narrative shift,643,Narrative shift,claim
FISA,643,FISA,question+namedEntity
fake news,67,fake news,question
bribes,67,bribes,question
Slush fund,67,Slush fund,question
The council of Wizards & Warlocks cannot be defeated.,67,The council of Wizards & Warlocks cannot be defeated.,claim
big pharma,693,big pharma,question
chain of command,693,chain of command,prediction
cabinet,7,cabinet,claim
indicting,7,indicting,claim
indicting,7,indicting,claim
cabinet,7,cabinet,claim
bribed,70,bribed,question
God bless,70,God,request+namedEntity
God bless,70, bless,request
The Great Awakening,70,The Great Awakening,claim
Who is the Muslim Brotherhood?,71,Who is the ,question
Who is the Muslim Brotherhood?,71,Muslim Brotherhood,question+namedEntity
Who is the Muslim Brotherhood?,71,?,question
PRAY.,713,PRAY.,request
Anon,72,Anon,claim
investigation into,722,investigation into,question
money laundering,732,money laundering,question+request
Godspeed.,737,Godspeed.,request
God bless,74,God,request+namedEntity
God bless,74, bless,request
big pharma,750,big pharma,claim
MILITARY INTELLIGENCE,755,MILITARY INTELLIGENCE,namedEntity
MILITARY INTELLIGENCE,755,MILITARY INTELLIGENCE,namedEntity
MILITARY INTELLIGENCE,755,MILITARY INTELLIGENCE,namedEntity
MILITARY INTELLIGENCE,755,MILITARY INTELLIGENCE,namedEntity
MILITARY INTELLIGENCE,755,MILITARY INTELLIGENCE,namedEntity
bribed,76,bribed,question
God bless,76,God,request+namedEntity
God bless,76, bless,request
The Great Awakening,76,The Great Awakening,claim
Anon,766,Anon,claim
GOD BLESS,767,GOD,request+namedEntity
GOD BLESS,767, BLESS,request
MSM,768,MSM,question
MSM,768,MSM,request
Who is the Muslim Brotherhood?,77,Who is the ,question
Who is the Muslim Brotherhood?,77,Muslim Brotherhood,question+namedEntity
Who is the Muslim Brotherhood?,77,?,question
Big Pharma,777,Big Pharma,question
SLUSH FUND,779,SLUSH FUND,claim
God bless,78,God,request+namedEntity
God bless,78, bless,request
indictment,780,indictment,claim
indictment,780,indictment,claim
No Such Agency,783,No Such Agency,namedEntity
The Great Awakening,786,The Great Awakening,claim
"""For I know the plans I have for you,” declares the Lord, “plans to prosper you and not to harm you, plans to give you hope and a future.""",791,"For I know the plans I have for you,” declares the ",request
"""For I know the plans I have for you,” declares the Lord, “plans to prosper you and not to harm you, plans to give you hope and a future.""",791,Lord,request+namedEntity
"""For I know the plans I have for you,” declares the Lord, “plans to prosper you and not to harm you, plans to give you hope and a future.""",791,", “plans to prosper you and not to harm you, plans to give you hope and a future.",request
GO WITH GOD.,793,GO WITH ,request
GO WITH GOD.,793,GOD,request+namedEntity
GO WITH GOD.,793,.,request
"HRC, Muslim Brotherhood, or child?",8,HRC,question+namedEntity
"HRC, Muslim Brotherhood, or child?",8,", ",question
"HRC, Muslim Brotherhood, or child?",8,Muslim Brotherhood,question+namedEntity
"HRC, Muslim Brotherhood, or child?",8,", or child?",question
Military Intelligence,8,Military Intelligence,namedEntity+claim
Wizards & Warlocks.,80,Wizards & Warlocks.,claim
declassified,805,declassified,question+bracketCode
Wizards & Warlocks.,81,Wizards & Warlocks.,claim
MSM,818,MSM,claim
censorship,828,censorship,request
censorship,830,censorship,question
Sentence,831,Sentence,claim
MSM,832,MSM,claim
IG report,834,IG,question+namedEntity
IG report,834, report,question
MSM,834,MSM,claim
Censorship,836,Censorship,claim
GOD BLESS,837,GOD,request+namedEntity
GOD BLESS,837, BLESS,request
MSM,839,MSM,question
Censorship,839,Censorship,claim
God bless,856,God,namedEntity
Anon,861,Anon,request
MSM,862,MSM,question
MSM,868,MSM,claim+bracketCode
MSM,877,MSM,claim
MSM,88,MSM,claim
The Great Awakening,88,The Great Awakening,claim
MSM,886,MSM,prediction
DEFCON,887,DEFCON,claim
No Such Agency,887,No Such Agency,namedEntity+claim
Anon,89,Anon,request
investigation into,89,investigation into,claim
MSM,891,MSM,request
censorship,895,censorship,claim
the great awakening,9,the great awakening,prediction
MSM,9,MSM,claim
Godspeed.,902,Godspeed.,request
Five Eyes,912,Five Eyes,namedEntity+claim
FAKE NEWS,919,FAKE NEWS,request
The spirit cooking discovery is bigger than you know.,924,The spirit cooking discovery is bigger than you know.,claim
Good vs Evil,925,Good vs Evil,claim
administration,927,administration,claim
MSM,932,MSM,claim
God bless,937,God,request+namedEntity
God bless,937, bless,request
assassination,942,assassination,claim
God bless,95,God,request+namedEntity
God bless,95, bless,request
Impeach,953,Impeach,claim
MSM,959,MSM,claim
algorithm,959,algorithm,claim
God bless,96,God,request+namedEntity
God bless,96, bless,request
COLD WAR,964,COLD WAR,request
censorship,964,censorship,claim
Election FRAUD,964,Election FRAUD,claim
NATIONAL SECURITY,964,NATIONAL SECURITY,claim
NATIONAL SECURITY,964,NATIONAL SECURITY,claim
fisa,972,fisa,url
MSM,972,MSM,prediction
sentence,98,sentence,request
MSM,980,MSM,question
IG report,988,IG,namedEntity+claim
IG report,988, report,claim
MSM,99,MSM,namedEntity
WWG1WGA,992,WWG1WGA,request
MSM,996,MSM,question
[Pope] will be having a terrible May.,997,[,prediction+bracketCode
[Pope] will be having a terrible May.,997,Pope,namedEntity+prediction+bracketCode
[Pope] will be having a terrible May.,997,],prediction+bracketCode
[Pope] will be having a terrible May.,997, will be having a terrible May.,prediction
Why is Epstein spending $29mm to bury the tunnels underneath is temple on Epstein Island?,999,Why is ,question
Why is Epstein spending $29mm to bury the tunnels underneath is temple on Epstein Island?,999,Epstein,question+namedEntity
Why is Epstein spending $29mm to bury the tunnels underneath is temple on Epstein Island?,999, spending $29mm to bury the tunnels underneath is temple on ,question
Why is Epstein spending $29mm to bury the tunnels underneath is temple on Epstein Island?,999,Epstein,question+namedEntity
Why is Epstein spending $29mm to bury the tunnels underneath is temple on Epstein Island?,999, Island,question+namedEntity
Why is Epstein spending $29mm to bury the tunnels underneath is temple on Epstein Island?,999,?,question
